title,house_type,district,bizcircle_name,avg_price,area_range,sale_status,open_date,longitude,latitude,tags,index
宋都阳光国际,住宅,上城,九堡,48000,272-452㎡,在售,2016-05-15,120.280525,30.301277,"['人车分流', '大型社区', '品牌房企', '地铁沿线']",1
城发云锦城,住宅,上城,丁桥,23000,73-133㎡,在售,2016-10-28,120.23707,30.377721,"['大型社区', '封闭管理', '国央企', '品牌房企']",1
杰立潮正府,住宅,上城,笕桥,35000,89-116㎡,在售,2023-11-99,120.21868969284,30.331149074258,"['绿化率高', '小型社区', '品牌房企', '近地铁']",1
华发武珹云府,住宅,上城,笕桥,40800,102-165㎡,在售,2024-06-99,120.23654544268,30.316080231457,"['车位充足', '绿化率高', '国央企', '品牌房企']",1
绿城沁百合庭,住宅,上城,三里亭,47400,155-176㎡,在售,,120.20139867298,30.294431404922,"['绿化率高', '人车分流', '国央企', '品牌房企']",1
锦翠金宸府,住宅,拱墅,半山,34000,99-138㎡,在售,2023-10-99,120.16495324739,30.355925676635,"['绿化率高', '大型社区', '国央企', '品牌房企']",1
保利和著文华轩,住宅,拱墅,半山,29500,103-126㎡,在售,2024-03-01,120.1482337311,30.381345259369,"['绿化率高', '人车分流', '国央企', '品牌房企']",1
滨江映运轩,住宅,拱墅,半山,29500,97-130㎡,在售,2024-05-30,120.15030621574,30.381793174058,"['绿化率高', '小型社区', '国央企', '品牌房企']",1
信达之江壹品,别墅,西湖,转塘,52600,180-195㎡,在售,2023-03-08,120.07205875548,30.165371652207,"['车位充足', '封闭管理', '置换改善', '旅游地产']",1
洺川名著,住宅,西湖,转塘,28200,215㎡,在售,2023-02-99,120.08661341982,30.12535188868,"['车位充足', '低密居所', '国央企', '置换改善']",1
龙井院子,别墅,西湖,转塘,45500,138-160㎡,在售,2023-05-10,120.05715058115,30.188809034045,"['车位充足', '人车分流', '置换改善', '品牌房企']",1
杭铁和映云筑,住宅,西湖,小和山,31440,115-180㎡,在售,2024-04-13,120.02932466173,30.217881337797,"['低密居所', '人车分流', '国央企', '置换改善']",1
溪映听庐,别墅,西湖,转塘,45500,202-259㎡,在售,2024-05-25,120.05400725692,30.181105239471,"['车位充足', '人车分流', '国央企', '置换改善']",1
映宸里,住宅,西湖,小和山,28388,106-139㎡,在售,2024-04-10,120.03353095291,30.218974312041,"['绿化率高', '低密居所', '置换改善', '高品质小区']",1
映宸里,别墅,西湖,小和山,31940,198-224㎡,在售,2024-06-99,120.03353095291,30.218974312041,"['人车分流', '封闭管理', '置换改善', '品牌房企']",1
中海·月陇云岚,别墅,西湖,转塘,45500,210-259㎡,在售,2024-03-23,120.05306931619,30.180239590712,"['车位充足', '人车分流', '国央企', '置换改善']",1
绿城熙海棠,住宅,西湖,良渚,28000,103-138㎡,在售,2024-06-29,120.03917949856,30.333684658068,"['绿化率高', '人车分流', '国央企', '公交直达']",1
