idx,symbol,industry,sector
0,ZYME,Biotechnology,Healthcare
1,ZYBT,Drug Manufacturers - Specialty & Generic,Healthcare
2,ZVRA,Biotechnology,Healthcare
3,ZURA,Biotechnology,Healthcare
4,ZUMZ,Apparel Retail,Consumer Cyclical
5,ZTG,Consulting Services,Industrials
6,ZTEK,Medical Instruments & Supplies,Healthcare
7,ZSTK,Asset Management,Financial Services
8,ZSQR,Software - Infrastructure,Technology
9,ZS,Software - Infrastructure,Technology
10,ZOOZ,Electrical Equipment & Parts,Industrials
11,ZNTL,Biotechnology,Healthcare
12,ZNB,Entertainment,Communication Services
13,ZM,Software - Application,Technology
14,ZLAB,Biotechnology,Healthcare
15,ZKPU,Shell Companies,Financial Services
16,ZKP,Shell Companies,Financial Services
17,ZKIN,Steel,Basic Materials
18,ZJYL,Medical Instruments & Supplies,Healthcare
19,ZJK,Specialty Industrial Machinery,Industrials
20,ZIONP,Banks - Regional,Financial Services
21,ZION,Banks - Regional,Financial Services
22,ZG,Internet Content & Information,Communication Services
23,ZEO,Solar,Technology
24,ZENA,Software - Infrastructure,Technology
25,ZDAI,Engineering & Construction,Industrials
26,ZD,Advertising Agencies,Communication Services
27,ZCMD,Health Information Services,Healthcare
28,ZBRA,Communication Equipment,Technology
29,ZBIO,Biotechnology,Healthcare
30,ZBAO,Insurance Brokers,Financial Services
31,Z,Internet Content & Information,Communication Services
32,YYGH,Specialty Business Services,Industrials
33,YYAI,Software - Infrastructure,Technology
34,YXT,Software - Application,Technology
35,YTRA,Travel Services,Consumer Cyclical
36,YSXT,Specialty Business Services,Industrials
37,YSWY,Grocery Stores,Consumer Defensive
38,YQ,Education & Training Services,Consumer Defensive
39,YOUL,Education & Training Services,Consumer Defensive
40,YORW,Utilities - Regulated Water,Utilities
41,YMT,Software - Application,Technology
42,YMAT,Specialty Chemicals,Basic Materials
43,YJ,Internet Retail,Consumer Cyclical
44,YICCU,Shell Companies,Financial Services
45,YICC,Shell Companies,Financial Services
46,YIBO,Computer Hardware,Technology
47,YI,Medical Distribution,Healthcare
48,YHNA,Shell Companies,Financial Services
49,YHGJ,Packaging & Containers,Consumer Cyclical
